# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7782182043237333,2.864964744013996,-1.7018202555538198,0,22.0,0.20070194236510233,180.0,0.0,0.0
 0.022783211141537005,1.7839255076282874,2.8647951737285364,-1.7018202555538198,0.5012306451138142,22.000000000000004,0.20070194236510233,180.0,6.925005884198314,0.0
 0.03232843601756341,1.7897097333948715,2.864629996776181,-1.635719517121341,0.7112255923863953,22.000000000000014,0.19151486440045815,180.0,8.640615783264465,0.0
 0.03972536179988369,1.7955702699861278,2.864469183268014,-1.5718055234589885,0.8739579595974414,22.000000000000004,0.1828912427781062,180.0,9.756043711263095,0.0
 0.046063068370130536,1.8015065057646975,2.8643127033151203,-1.509974581130501,1.0,19.887642162904584,0.1747880952563527,180.0,9.952207672172937,0.0
 0.05207631755690556,1.8075178290932223,2.8641605270285853,-1.4501294764391908,1.0,0.0,0.16716632912084223,180.0,9.519438569733788,0.0
 0.058163913761930336,1.813603628334344,2.864012624519494,-1.3921789783281129,1.0,0.0,0.15999033537746368,180.0,9.111914843604803,0.0
 0.06432525228809789,1.8197632918507038,2.8638689658989325,-1.3360373863550525,1.0,0.0,0.15322763175829895,180.0,8.727801512541468,4.558796971909432e-12
 0.07055972809510004,1.8259962080049437,2.8637295212779845,-1.281624118976796,1.0,0.0,0.14684854609687198,180.00000000000003,8.365421970201377,-4.506369846314019e-12
 0.07686673581965499,1.832301765159705,2.8635942607677363,-1.2288633379915743,1.0,0.0,0.14082593656690648,180.0,8.023242216532267,0.0
 0.08324566979426921,1.8386793516776296,2.863463154479272,-1.1776836056299775,1.0,0.0,0.1351349420924135,180.0,7.699856892673943,0.0
 0.08969592406465882,1.8451283559213585,2.8633361725236774,-1.1280175708266187,1.0,0.0,0.12975276294310545,180.0,7.393976823723049,0.0
 0.09621689240594523,1.851648166253534,2.863213285012038,-1.079801682042915,1.0,0.0,0.12465846144550932,180.0,7.104417950318978,0.0
 0.10280796833772203,1.8582381710367972,2.8630944620554377,-1.0329759238812846,1.0,0.0,0.11983278817209606,180.0,6.8300914406968625,4.26715437450066e-12
 0.1094685451380938,1.86489775863379,2.862979673764963,-0.9874835752869613,1.0,0.0,0.1152580241414217,180.00000000000003,6.569994837893748,-4.2234687717057654e-12
 0.11619801585676212,1.8716263174071532,2.862868890251698,-0.9432709874035533,1.0,0.0,0.11091784114036551,180.0,6.323204171189377,0.0
 0.12299577332724372,1.8784232357195298,2.862762081626728,-0.9002873790114704,1.0,0.0,0.10679717426846941,180.0,6.088866839447871,0.0
 0.12986121017827654,1.8852879019335602,2.8626592180011388,-0.8584846482308932,1.0,0.0,0.10288211026464086,180.0,5.866195257674356,0.0
 0.13679371884449365,1.8922197044118865,2.862560269486015,-0.817817198769344,1.0,0.0,0.09915978562406215,180.0,5.654461123527877,-4.060840143127454e-12
 0.14379269157640598,1.89921803151715,2.862465206192442,-0.778241779552114,1.0,0.0,0.09561829431585567,179.99999999999997,5.452990261203037,4.022986252026057e-12
 0.15085752044975603,1.9062822716119927,2.8623739982315044,-0.7397173365086702,1.0,0.0,0.09224660628120847,180.0,5.261157974178765,0.0
 0.1579875973742856,1.913411813059056,2.8622866157142877,-0.7022048754406733,1.0,0.0,0.08903449276962457,180.0,5.07838484283857,0.0
 0.16518231410196146,1.9206060442209811,2.862203028751878,-0.6656673350623272,1.0,0.0,0.08597245846498416,180.0,4.90413292834919,0.0
 0.172441062234702,1.9278643534604105,2.862123207455358,-0.6300694693259612,1.0,0.0,0.08305168107631947,180.0,4.737902349614854,3.881595969599443e-12
 0.17976323323163265,1.935186129139985,2.8620471219358152,-0.5953777381553217,1.0,0.0,0.08026395613851617,180.00000000000003,4.579228148207102,-3.848580426524721e-12
 0.18714821841591497,1.942570759622346,2.8619747423043336,-0.5615602061253636,1.0,0.0,0.0776016473083797,180.0,4.427677482234979,-3.816433751944053e-12
 0.19459540898117142,1.950017633270136,2.8619060386719983,-0.528586448153665,1.0,0.0,0.07505763964040957,179.99999999999997,4.282847049368645,0.0
 0.2021041959975341,1.9575261384459959,2.861840981149895,-0.49642746183629843,1.0,0.0,0.07262529966819008,179.99999999999997,4.144360753763495,7.509261928863426e-12
 0.20967397041735003,1.9650956635125676,2.861779539849109,-0.46505558581597045,1.0,0.0,0.07029843720190829,180.00000000000003,4.011867582083214,-3.724920153622884e-12
 0.21730412308055835,1.9727255968324924,2.8617216848807243,-0.43444442370009906,1.0,0.0,0.06807127069512903,180.0,3.88503966611062,0.0
 0.2249940447197681,1.9804153267684121,2.861667386355827,-0.4045687731024868,1.0,0.0,0.06593839659432008,180.0,3.7635705097115326,0.0
 0.23274312596505148,1.9881642416829683,2.8616166143855013,-0.37540455945037954,1.0,0.0,0.06389475945002622,180.0,3.6471733830612476,0.0
 0.24055075734847517,1.9959717299388027,2.861569339080834,-0.346928774084003,1.0,0.0,0.0619356284459801,180.0,3.5355798299043473,0.0
 0.24841632930838428,2.0038371798985564,2.861525530552908,-0.31911941651188713,1.0,0.0,0.06005656951722322,180.0,3.4285383378855028,0.0
 0.25633923219345767,2.0117599799248715,2.861485158912811,-0.2919554402230694,1.0,0.0,0.05825342801241606,180.0,3.325813074017409,0.0
 0.2643188562665447,2.0197395183803897,2.8614481942716257,-0.2654167021550524,1.0,0.0,0.05652230471932301,180.0,3.22718277449934,0.0
